Frame:1 
1,644,160,33,47,6,634,453,32,20
2,604,219,24,108,0,0,0,0,0
3,683,217,18,114,0,0,0,0,0
4,588,319,51,125,0,0,0,0,0
5,642,322,36,122,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
Frame:2 
1,644,160,33,47,6,634,453,32,20
2,604,219,24,108,0,0,0,0,0
3,683,217,18,114,0,0,0,0,0
4,588,319,51,125,0,0,0,0,0
5,642,322,36,122,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
Frame:3 
1,644,160,33,47,6,634,453,32,20
2,604,219,24,108,0,0,0,0,0
3,683,217,18,114,0,0,0,0,0
4,588,319,51,125,0,0,0,0,0
5,642,322,36,122,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
Frame:4 
1,644,160,33,47,6,634,453,32,20
2,604,219,24,108,0,0,0,0,0
3,683,217,18,114,0,0,0,0,0
4,588,319,51,125,0,0,0,0,0
5,642,322,36,122,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
Frame:5 
1,650,165,32,47,6,641,453,21,20
2,619,219,24,102,0,0,0,0,0
3,671,217,38,108,0,0,0,0,0
4,594,313,56,131,0,0,0,0,0
5,654,319,21,126,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
