Frame:1 
1,213,256,23,26
2,199,279,14,44
3,229,279,20,42
4,204,321,18,53
5,222,322,12,53
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
Frame:2 
1,213,256,23,26
2,199,279,14,44
3,229,279,20,42
4,204,321,18,53
5,222,322,12,53
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
Frame:3 
1,213,256,23,26
2,199,279,14,44
3,229,279,20,42
4,204,321,18,53
5,222,322,12,53
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
Frame:4 
1,213,256,23,26
2,199,279,14,44
3,229,279,20,42
4,204,321,18,53
5,222,322,12,53
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
Frame:5 
1,213,256,23,26
2,199,279,14,44
3,229,279,20,42
4,204,321,18,53
5,222,322,12,53
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
Frame:6 
1,213,256,23,26
2,199,279,14,44
3,229,279,20,42
4,204,321,18,53
5,222,322,12,53
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
Frame:7 
1,213,256,23,26
2,199,279,14,44
3,229,279,20,42
4,204,321,18,53
5,222,322,12,53
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
Frame:8 
1,213,256,23,26
2,199,279,14,44
3,229,279,20,42
4,204,321,18,53
5,222,322,12,53
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
Frame:9 
1,213,256,23,26
2,199,279,14,44
3,229,279,20,42
4,204,321,18,53
5,222,322,12,53
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
Frame:10 
1,213,256,23,26
2,199,279,14,44
3,229,279,20,42
4,204,321,18,53
5,222,322,12,53
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
Frame:11 
1,213,256,23,26
2,199,279,14,44
3,229,279,20,42
4,204,321,18,53
5,222,322,12,53
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
Frame:12 
1,213,256,23,26
2,199,279,14,44
3,229,279,20,42
4,204,321,18,53
5,222,322,12,53
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
Frame:13 
1,213,256,23,26
2,199,279,14,44
3,229,279,20,42
4,204,321,18,53
5,222,322,12,53
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
Frame:14 
1,213,256,23,26
2,199,279,14,44
3,229,279,20,42
4,204,321,18,53
5,222,322,12,53
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
Frame:15 
1,201,250,24,29,1,28,268,20,26
2,196,282,11,50,3,46,295,20,48
3,223,280,14,47,4,16,340,27,54
4,202,325,18,51,5,52,343,20,57
5,219,325,23,50,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
Frame:16 
1,205,258,20,24,1,102,268,24,23
2,198,286,11,44,3,121,292,17,50
3,228,288,11,41,5,121,336,24,53
4,204,321,14,51,4,88,336,30,62
5,220,325,21,56,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
Frame:17 
1,202,256,18,24,1,157,270,20,26
2,198,285,12,41,3,174,294,21,44
3,225,285,12,41,4,162,334,11,44
4,204,327,15,44,5,177,337,17,38
5,220,330,20,44,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
Frame:18 
1,214,258,24,32,1,183,268,18,21
3,216,291,29,39,3,192,288,23,47
4,205,328,15,47,4,195,330,18,47
5,222,325,26,50,5,172,331,35,36
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
Frame:19 
1,234,259,24,23,1,163,268,20,27
3,237,282,23,54,3,160,294,21,39
5,246,318,24,56,4,172,328,17,42
0,0,0,0,0,5,153,330,20,50
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
Frame:20 
1,234,259,24,23,1,163,268,20,27
3,237,282,23,54,3,160,294,21,39
5,246,318,24,56,4,172,328,17,42
0,0,0,0,0,5,153,330,20,50
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
